,Frames,Frames_cout,TotalDe265,TotalDe265_cout,config,dev,file_name,fps,fps_cout,qp,tInput,tInput_cout,tKernel,tKernel_cout,tOutput,tOutput_cout,tTotal,tTotal_clk,tTotal_clk_cout,tTotal_cout,txFracl,txFracl_cout,tyFracl,tyFracl_cout,type,vid,tGenerateInterPredictionSamples,tGenerateInterPredictionSamples_clk,tMCLuma,tMCLuma_clk,tReadCodingUnit,tReadCodingUnit_clk
0,10.0,10.0,16.18543,16.1854,64-16,FPGA,OCL-FPGA_64-16_B_Kimono_1920x1080_24_RA_37_0.out,0.62,0.617839,37,0.804379091,0.804379,8.178902225,8.1789,0.793317639,0.793318,16.185451132,10.13,10.13,16.1855,0.775470364,0.77547,0.76778955,0.76779,RA,Kimono,,,,,,
1,10.0,10.0,5.98375,5.98375,64-08,FPGA,OCL-FPGA_64-08_E_Johnny_1280x720_60_RA_37_0.out,1.67,1.67119,37,0.233089656,0.23309,3.616302197,3.6163,0.230927672,0.230928,5.983760756,2.99,2.99,5.98376,0.222504031,0.222504,0.222146486,0.222146,RA,Johnny,,,,,,
2,10.0,10.0,9.23421,9.23421,64-64,FPGA,OCL-FPGA_64-64_B_Cactus_1920x1080_50_RA_37_0.out,1.08,1.08293,37,0.251980985,0.251981,5.564849314,5.56485,0.254339367,0.254339,9.234226637,4.35,4.35,9.23423,0.230320486,0.23032,0.229809783,0.22981,RA,Cactus,,,,,,
3,10.0,10.0,4.64179,4.64179,32-32,FPGA,OCL-FPGA_32-32_B_BasketballDrive_1920x1080_50_LD_32_0.out,2.15,2.15434,32,0.189584485,0.189584,1.476051529,1.47605,0.174783692,0.174784,4.641809831,3.79,3.79,4.64181,0.180146858,0.180147,0.179699453,0.179699,LD,BasketballDrive,,,,,,
4,10.0,10.0,14.49072,14.4907,32-16,FPGA,OCL-FPGA_32-16_B_Cactus_1920x1080_50_RA_27_0.out,0.69,0.690097,27,0.966222408,0.966222,4.896524494,4.89652,0.971368881,0.971369,14.49073958,12.21,12.21,14.4907,0.932413007,0.932413,0.930377519,0.930378,RA,Cactus,,,,,,
5,10.0,10.0,5.19429,5.19429,16-08,FPGA,OCL-FPGA_16-08_E_KristenAndSara_1280x720_60_LD_22_0.out,1.93,1.92519,22,0.39888826,0.398888,1.426224904,1.42622,0.393273131,0.393273,5.194298985,4.81,4.81,5.1943,0.37801068,0.378011,0.376826984,0.376827,LD,KristenAndSara,,,,,,
6,10.0,10.0,5.99481,5.99481,16-16,FPGA,OCL-FPGA_16-16_B_BQTerrace_1920x1080_60_RA_32_0.out,1.67,1.66811,32,0.303690861,0.303691,1.233332127,1.23333,0.307841375,0.307841,5.994821088,5.65,5.65,5.99482,0.292478498,0.292478,0.290767736,0.290768,RA,BQTerrace,,,,,,
7,10.0,10.0,17.42939,17.4294,64-16,FPGA,OCL-FPGA_64-16_B_Kimono_1920x1080_24_LD_27_0.out,0.57,0.573743,27,1.052933342,1.05293,7.196081611,7.19608,1.027390352,1.02739,17.429412062,13.16,13.16,17.4294,1.033228041,1.03323,1.033680449,1.03368,LD,Kimono,,,,,,
8,10.0,10.0,36.37373,36.3737,64-08,FPGA,OCL-FPGA_64-08_B_ParkScene_1920x1080_24_RA_27_0.out,0.27,0.274924,27,2.655211215,2.65521,13.559484497,13.5595,2.646846745,2.64685,36.373745018,29.36,29.36,36.3737,2.549765634,2.54977,2.547029678,2.54703,RA,ParkScene,,,,,,
9,10.0,10.0,12.84788,12.8479,64-32,FPGA,OCL-FPGA_64-32_B_BasketballDrive_1920x1080_50_RA_22_0.out,0.78,0.778338,22,0.466921933,0.466922,5.493274083,5.49327,0.439851195,0.439851,12.847901129,8.65,8.65,12.8479,0.438502726,0.438503,0.439216175,0.439216,RA,BasketballDrive,,,,,,
